mae,rmse,mape,ENCODED_MCT,train_points,eval_points,model
6.667761639119381e-09,1.1548901931713506e-08,1.5989836065034487e-06,003AC99735,21,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 0, 'seasonal_ar': 12, 'seasonal_ma': 0, 'reduced_ar': 12, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.16599999999999998,0.16599999999999998,28.473413379073754,00F54829E1,21,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 0, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 0, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.0,0.0,0.0,00FDB35E9C,21,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 0, 'seasonal_ar': 12, 'seasonal_ma': 0, 'reduced_ar': 12, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.0,0.0,0.0,01EDD97C21,21,3,"{'trend': 0, 'exog': 0, 'ar': 1, 'ma': 0, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 1, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.11066666666666665,0.13553843243400251,26.53876898481215,01FD0FCC3D,11,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 0, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 0, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.0,0.0,0.0,0220D6AA93,21,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 0, 'seasonal_ar': 12, 'seasonal_ma': 0, 'reduced_ar': 12, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.0,0.0,0.0,029F2B4A59,21,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 0, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 0, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.0,0.0,0.0,02A32AE992,21,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 0, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 0, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.05472037878154923,0.054754032751667396,21.888151512619693,02FE4FD151,21,3,"{'trend': 0, 'exog': 0, 'ar': 1, 'ma': 1, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 1, 'reduced_ma': 1, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.0,0.0,0.0,035ADB2AA8,21,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 0, 'seasonal_ar': 12, 'seasonal_ma': 0, 'reduced_ar': 12, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.10440258418396242,0.11973101969999353,15.182806298265442,036B3FD49B,21,3,"{'trend': 0, 'exog': 0, 'ar': 1, 'ma': 1, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 1, 'reduced_ma': 1, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
4.02903854644508,5.417216650772855,966.1962941115302,03BE2D577F,15,3,"{'trend': 0, 'exog': 0, 'ar': 1, 'ma': 1, 'seasonal_ar': 12, 'seasonal_ma': 0, 'reduced_ar': 13, 'reduced_ma': 1, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.06724723599777833,0.0729951483170431,13.700700660349982,0487117D58,21,3,"{'trend': 0, 'exog': 0, 'ar': 1, 'ma': 1, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 1, 'reduced_ma': 1, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.0,0.0,0.0,055A2785B9,21,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 0, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 0, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.09045833333334247,0.09413058859018515,29.49532374101085,05EE42C739,21,3,"{'trend': 0, 'exog': 0, 'ar': 1, 'ma': 0, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 1, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.3524370104338055,0.356322442315996,84.517268689162,06A87DAA45,21,3,"{'trend': 0, 'exog': 0, 'ar': 1, 'ma': 0, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 1, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.09960640416929412,0.10659230966273717,16.499870449415805,085F6E716F,14,3,"{'trend': 0, 'exog': 0, 'ar': 1, 'ma': 1, 'seasonal_ar': 0, 'seasonal_ma': 0, 'reduced_ar': 1, 'reduced_ma': 1, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
0.055333335274996565,0.09584014804853724,9.491138126071451,08A8D396B4,18,3,"{'trend': 0, 'exog': 0, 'ar': 0, 'ma': 0, 'seasonal_ar': 12, 'seasonal_ma': 0, 'reduced_ar': 12, 'reduced_ma': 0, 'exog_variance': 0, 'measurement_variance': 0, 'variance': 1}"
