mae,rmse,mape,ENCODED_MCT,train_points,eval_points
,,,5D9E5F8645,18,6
,,,5DC3FB1D5F,18,6
,,,5DEC65272B,18,6
,,,5E30D7653F,18,6
,,,5E5092A910,18,6
,,,5EB844551A,18,6
,,,5F2DDA0178,18,6
,,,5FCE089938,18,6
,,,6010892CCE,18,6
,,,60334AB92C,18,6
,,,613B8B6375,18,6
,,,61472439B5,18,6
,,,61574AF3E1,18,6
,,,61A3133822,18,6
,,,62DCAD38F6,18,6
,,,62EF38C706,7,6
,,,63064A8A5C,18,6
,,,63135A8618,18,6
,,,64477AD191,16,6
,,,652AA8E8C5,18,6
,,,655851E372,18,6
,,,667F7D3E48,18,6
,,,674011F2F1,18,6
,,,67551595FA,18,6
,,,6779202960,11,6
,,,6810C7C7CE,18,6
,,,6930EE8A71,18,6
,,,693A6576E9,18,6
,,,69756C0A85,18,6
,,,6A584E1D14,18,6
,,,6B31815A9D,18,6
,,,6B61E9F331,18,6
,,,6B62F6001E,18,6
,,,6B7B1EE6FA,18,6
,,,6B99F5A278,16,6
,,,6C347DBCB1,18,6
,,,6C3AFD20C1,7,6
,,,6CB3606866,18,6
,,,6D331F1EE9,18,6
,,,6DF56DD3F4,18,6
,,,6DFE8B7651,18,6
,,,6F17AD6277,18,6
,,,6FB12F3636,16,6
,,,6FE0E66A8A,18,6
,,,7069AC584A,10,6
,,,70F032FFD5,18,6
,,,7162A93F6B,18,6
,,,71C48EDE85,10,6
,,,72AA2FB49E,18,6
,,,730914BE0E,18,6
,,,7439039EF1,18,6
,,,75296C3F60,18,6
,,,75E1602760,10,6
,,,770A25491E,11,6
,,,770CC873E4,18,6
,,,77B5670808,18,6
,,,77DBEC55AD,18,6
,,,7829A485F0,18,6
,,,79892ACBB1,18,6
,,,79DB6DBBB4,18,6
,,,79EBBF0E89,18,6
,,,79F7BABD3E,18,6
,,,7A29E2FB9F,18,6
,,,7AFF6C86CE,18,6
,,,7B038FEF47,18,6
,,,7D812F3CC3,18,6
,,,7E1DD52BF1,18,6
,,,7E63F9E0CF,11,6
,,,7E78A7C976,18,6
,,,80012F987D,18,6
,,,809BEAA13A,18,6
,,,80E637212D,18,6
,,,8177FA0EF1,18,6
,,,81A9553F88,18,6
,,,81C425F47D,10,6
,,,82090124F0,18,6
,,,831DD29FAB,18,6
,,,842D25724F,18,6
,,,8532D4C362,17,6
,,,86129404BB,18,6
,,,869C372EFC,18,6
,,,895BBD5C5B,14,6
,,,89D3C820E9,18,6
,,,89F36844AE,18,6
,,,8A5378CE22,18,6
,,,8B23667254,18,6
,,,8BA83008CB,18,6
,,,8BFDD0339E,8,6
,,,8C96D7ED90,18,6
,,,8DDCE4944D,18,6
,,,8E3B9888E3,18,6
,,,9.97E+102,18,6
,,,9042A5401C,18,6
,,,90644ECF42,18,6
,,,9218EE2A57,18,6
,,,943BBD5F30,18,6
,,,94502BA9DC,18,6
,,,95C390B637,6,6
,,,9643B485DF,18,6
,,,966680A20F,18,6
,,,96728A7226,17,6
,,,9911CB0D95,18,6
,,,995D6B6C92,18,6
,,,9972114004,18,6
,,,99973542B9,18,6
,,,9A0EC55599,18,6
,,,9A27CDDD2A,18,6
,,,9A9ADB69FB,15,6
,,,9AFEF6448B,18,6
,,,9C3EC0EDDC,18,6
,,,9DBBC0BC17,18,6
,,,9DE30019C9,18,6
,,,9DE5AC9FFD,18,6
,,,9E719E496C,18,6
,,,9ED42062FD,18,6
,,,9F42371A46,18,6
,,,9FBE5BF7CF,18,6
,,,A0A1FF8F0B,18,6
,,,A1886B3C8E,18,6
,,,A2A41AAC50,18,6
,,,A2D9C941A9,18,6
,,,A33442D657,18,6
,,,A412739857,12,6
,,,A50A5265C1,18,6
,,,A5DC44A844,18,6
,,,A787679642,18,6
,,,A7BC78E695,12,6
,,,A89BEC57A0,18,6
,,,A92743CA52,18,6
,,,A9B8207363,12,6
,,,AA351B2BFF,12,6
,,,AC3DCE45BE,18,6
,,,AD045C18E5,18,6
,,,AD0F358619,18,6
,,,AD57E72BC9,18,6
,,,AEF0DF6708,18,6
,,,AF12407D8A,18,6
,,,AF202842B3,18,6
,,,B0A6B628D3,18,6
,,,B113A0DC35,18,6
,,,B2240E407A,18,6
,,,B2319196A9,8,6
,,,B2781768EE,18,6
,,,B4C8D0B6AD,18,6
,,,B5AFB737F5,18,6
,,,B5E96D7BB4,17,6
,,,B88DBA7876,18,6
,,,B8C1E9F4C6,10,6
,,,B8F11300C9,18,6
,,,B918A3FB98,18,6
,,,B95A7665A4,18,6
,,,B9CF9A1A80,18,6
,,,BA9B0547FD,12,6
,,,BB508E9B60,18,6
,,,BC04FDC81C,18,6
,,,BC3B472D8E,18,6
,,,BCA89C9A13,18,6
,,,BCB8BCC1D2,18,6
,,,BD237E8126,18,6
,,,BD730ED969,18,6
,,,BDC0AED34F,16,6
,,,BDD7EBEC25,18,6
,,,BE0A7DD7AB,13,6
,,,BE646F48C4,18,6
,,,BE8BE0B9CF,18,6
,,,BF43B6D3DA,18,6
,,,BF872A7E89,18,6
,,,BF8F8AFC4B,18,6
,,,BF9955B7C9,18,6
,,,BFDC273AED,18,6
,,,C078C96A10,18,6
,,,C2917321B5,13,6
,,,C45BC175C8,18,6
,,,C6363F8E19,18,6
,,,C65FEFD6D4,18,6
,,,C6A7D1B09B,18,6
,,,C766BAD8FB,18,6
,,,C76B1790F8,18,6
,,,C76DAFE8C1,18,6
,,,C7B69482A3,18,6
,,,C7F49C4961,18,6
,,,CA4D5857BC,18,6
,,,CA5307D30A,18,6
,,,CAF68EC2CB,18,6
