mae,rmse,mape,ENCODED_MCT,train_points,eval_points
0.08279916554656559,0.10084659984268697,14.202258241263396,8BA83008CB,21,3
0.24760603695262243,0.24865019540914476,33.014138260349654,8BFDD0339E,11,3
0.022869632847989707,0.024666861864583108,3.9227500596894873,8C96D7ED90,21,3
0.012624542433846178,0.016352922539614807,2.1654446713286757,8DDCE4944D,21,3
0.08803806258956404,0.0949515786250239,18.566443376831128,8E3B9888E3,21,3
0.04635869842236658,0.05496558282938785,7.951749300577458,9.97E+102,21,3
0.04609417508328869,0.049468726811283247,7.906376515143858,9042A5401C,21,3
1.754034107700105e-06,1.7649672803222775e-06,0.000233871214360014,90644ECF42,15,3
0.000714174609799075,0.0010402805023384339,0.17126489443622905,9218EE2A57,21,3
0.06750018665066304,0.10152565414335084,11.211766747819834,943BBD5F30,21,3
0.08398631516275284,0.0846931682556755,16.412532402445944,94502BA9DC,21,3
0.09520811334795999,0.09658171650980943,22.831681858023977,95C390B637,9,3
1.624427235317564e-07,1.626614389339678e-07,2.7863245888808993e-05,9643B485DF,15,3
0.034117888921689175,0.041962885315193044,13.64715556867567,966680A20F,21,3
0.1411502458609092,0.1428458482181311,26.726742889933586,96728A7226,20,3
0.00947590679613941,0.009721598189332178,1.6253699478798302,9911CB0D95,21,3
0.017440511628459315,0.02730571310861858,2.9915114285521978,995D6B6C92,21,3
0.1463052141514578,0.1493431817363746,58.52208566058312,9972114004,21,3
0.16687587634359394,0.1709114432966766,28.623649458592443,99973542B9,21,3
0.07793840199251788,0.09377460761382538,18.690264266790855,9A0EC55599,21,3
0.08568151453108697,0.09276668898011704,19.701005202419548,9A27CDDD2A,21,3
0.03298261152971582,0.046739237293336004,5.657394773536161,9A9ADB69FB,18,3
0.07308077733907468,0.11485569855466855,17.03860169723709,9AFEF6448B,21,3
0.04936506362705475,0.0714175579317733,11.83814475468939,9C3EC0EDDC,21,3
0.00029904969098622686,0.00033134081729326823,0.05129497272491028,9DBBC0BC17,21,3
0.000714174609799075,0.0010402805023384339,0.17126489443622905,9DE30019C9,21,3
0.035683431762594274,0.03707153320876499,8.557177880718053,9DE5AC9FFD,21,3
0.12915434328909983,0.14005064884328902,51.66173731563993,9E719E496C,21,3
0.025350060999192348,0.029466613888696962,6.079151318751163,9ED42062FD,21,3
0.000714174609799075,0.0010402805023384339,0.17126489443622905,9F42371A46,21,3
0.09308297384511384,0.12167427096721647,16.611982453253077,9FBE5BF7CF,21,3
0.31985160759885445,0.3207926882463791,54.86305447664742,A0A1FF8F0B,21,3
0.00029904969098622686,0.00033134081729326823,0.05129497272491028,A1886B3C8E,21,3
0.12137512635694087,0.12219674900198735,20.819061124689686,A2A41AAC50,21,3
0.031110871953645425,0.047033605978317496,7.4606407562698855,A2D9C941A9,21,3
0.19184538865000814,0.19575204656034575,25.579385153334417,A33442D657,21,3
0.10420279354351397,0.12048580735014326,18.308425588178874,A412739857,15,3
0.019023433705379473,0.023762214157329445,2.0745293026586125,A50A5265C1,21,3
0.06046242283425751,0.06714599070638932,6.593503035360689,A5DC44A844,21,3
0.03874764845829359,0.04093892535430332,4.2254796573929765,A787679642,21,3
0.08299214003271808,0.08310286280722504,13.253406258566539,A7BC78E695,15,3
0.10572232204995106,0.11833922089927637,27.84181307261399,A89BEC57A0,21,3
0.16487307745621815,0.17550230350825974,130.52760778908322,A92743CA52,21,3
3.360892469624529e-06,3.3747565065475706e-06,0.00036650953867224954,A9B8207363,15,3
0.06334620384486898,0.06392096272407372,25.338481537947594,AA351B2BFF,15,3
0.08091855424239687,0.08289213782329997,19.40492907491532,AC3DCE45BE,21,3
0.019581321431308602,0.021036638711344906,2.6108428575078135,AD045C18E5,21,3
0.00029904969098622686,0.00033134081729326823,0.05129497272491028,AD0F358619,21,3
0.055862095337705024,0.09648652560693012,67.1784329812427,AD57E72BC9,21,3
0.08989817775149155,0.09125868506934084,21.558316007551927,AEF0DF6708,21,3
0.016211758408443726,0.02033877861673292,3.8877118485476556,AF12407D8A,21,3
0.0004060881084820093,0.0004210648096767254,0.05414508113093457,AF202842B3,21,3
0.055320277166789666,0.05695254667769318,13.266253517215748,B0A6B628D3,21,3
0.14473522705737793,0.15823084626899878,54.92805488602862,B113A0DC35,21,3
0.07276151580641334,0.1063241736873241,77.77208820552185,B2240E407A,21,3
0.2894590914009958,0.28992093899801824,69.41465021606614,B2319196A9,11,3
0.015084789384954167,0.017861807131630363,2.5874424330967694,B2781768EE,21,3
0.06840863343894106,0.08794392739542292,13.071392959142539,B4C8D0B6AD,21,3
0.000714174609799075,0.0010402805023384339,0.17126489443622905,B5AFB737F5,21,3
0.04852831666827521,0.05416597006129836,11.637486011576788,B5E96D7BB4,20,3
0.0004060881084820093,0.0004210648096767254,0.05414508113093457,B88DBA7876,21,3
0.01985092900858158,0.020436074248256594,2.6467905344775433,B8C1E9F4C6,13,3
0.028845728921507496,0.04013317908084477,3.846097189534333,B8F11300C9,21,3
0.08584608290185408,0.08914791830337249,14.72488557493209,B918A3FB98,21,3
0.011404943341084273,0.014068625337747503,2.7349984031377157,B95A7665A4,21,3
0.09489942191959184,0.09497835574834831,10.348900972692675,B9CF9A1A80,21,3
0.03858667417475763,0.0389043466555128,15.434669669903053,BA9B0547FD,15,3
0.15406972610469769,0.15508206401613173,24.46509250814948,BB508E9B60,21,3
1.3168957465244566e-07,1.3172046883779904e-07,2.2588263233695652e-05,BC04FDC81C,15,3
0.2933745529806285,0.2961934963748623,181.61803237813638,BC3B472D8E,21,3
0.06905373133047636,0.07316323156252684,11.844550828555123,BCA89C9A13,21,3
0.051428830882579914,0.062155190558537396,8.821411815193812,BCB8BCC1D2,21,3
0.18826592449635324,0.1913848912802828,45.14770371615186,BD237E8126,21,3
0.21805762076143534,0.2717649579421087,28.94693168047917,BD730ED969,21,3
0.14378583515493723,0.14404110093795458,31.431951739443694,BDC0AED34F,19,3
0.045807174830824825,0.04815690553847923,4.995329861594855,BDD7EBEC25,21,3
0.1038833128840128,0.1335024271582684,14.987454037205113,BE0A7DD7AB,16,3
0.037176029369064355,0.04647968383273107,5.402317708646281,BE646F48C4,21,3
0.017744630710666676,0.025783244803967067,3.0436759366495156,BE8BE0B9CF,21,3
0.011694734751860373,0.014935684603256092,2.0059579334237347,BF43B6D3DA,21,3
